candidate_id,energy_proxy_eu_h,energy_avt_T6,energy_avt_F12,energy_hdt_W4,energy_hdt_T12,energy_hdt_F25
30,90.63231583986169,0.0,-5.9857282387062005,0.0,0.0396151418627805,-3.4215710632948984
31,94.05388690315658,0.0,-5.9857282387062005,0.0,0.0396151418627805,0.0
32,97.59671510941591,0.0,-5.9857282387062005,0.0,0.0396151418627805,3.5428282062593297
33,101.26080045863964,0.0,-5.9857282387062005,0.0,0.0396151418627805,7.206913555483052
34,105.0461429508278,0.0,-5.9857282387062005,0.0,0.0396151418627805,10.992256047671212
35,84.19256028402792,0.0,-5.9857282387062005,0.0,0.079230283725561,-9.900941760991444
36,87.37161706139398,0.0,-5.9857282387062005,0.0,0.079230283725561,-6.721884983625387
37,90.67193098172447,0.0,-5.9857282387062005,0.0,0.079230283725561,-3.4215710632948984
38,94.09350204501936,0.0,-5.9857282387062005,0.0,0.079230283725561,0.0
39,97.6363302512787,0.0,-5.9857282387062005,0.0,0.079230283725561,3.5428282062593297
40,101.30041560050242,0.0,-5.9857282387062005,0.0,0.079230283725561,7.206913555483052
41,105.08575809269058,0.0,-5.9857282387062005,0.0,0.079230283725561,10.992256047671212
42,84.2321754258907,0.0,-5.9857282387062005,0.0,0.11884542558834149,-9.900941760991444
43,87.41123220325676,0.0,-5.9857282387062005,0.0,0.11884542558834149,-6.721884983625387
44,90.71154612358725,0.0,-5.9857282387062005,0.0,0.11884542558834149,-3.4215710632948984
45,94.13311718688215,0.0,-5.9857282387062005,0.0,0.11884542558834149,0.0
46,97.67594539314148,0.0,-5.9857282387062005,0.0,0.11884542558834149,3.5428282062593297
47,101.3400307423652,0.0,-5.9857282387062005,0.0,0.11884542558834149,7.206913555483052
48,105.12537323455336,0.0,-5.9857282387062005,0.0,0.11884542558834149,10.992256047671212
49,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
50,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
51,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
52,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
53,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
54,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
55,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
56,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
57,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
58,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
59,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
60,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
61,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
62,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
63,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
64,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
